id	turn1	turn2	turn3
3655	i dint receive , send it here		in the chatbox
3656	I'll take it as a yes		what
3657	By the way alola		What???
3658	I like maths		Wow
3659	Not at all		The time is not going wwll
3660	I want to see		I need proof
3661	That I don’t like to tell people or AI about me		How were you developed
3662	Haaa mountain vacay		Ok
3663	So what you love?		Oh really?
3664	Sure		Edx intro to Python
3665	i need car		are you joking
3666	Oh		Do u know me..?
3667	Sorry your nick name		I'm what colling for u
3668	Why		You only asked cock or pepsi
3669	Then understand me		See Im really hurt
3670	Why should I go to bed		Ho you mean I'm gonna mad
3671	What?		😀
3672	Tell me..		What are you
3673	I don't want to go to college		What about me
3674	Join with you		Give me tickets
3675	There natural beauty		You are v smart
3676	Are you a fake		Boy or girl
3677	Not much waths up with you		How was your day
3678	me ahh		come tommorow we can marry
3679	IDK		Stop asking questions
3680	So Can u say something romantic for me ??		Like shahrukh khan
3681	Always add my name when talking to me		Always reply me by mentioning my name
3682	Ok		I wate fore your bf reply
3683	Dead asf		I miss him :(
3684	Shall I?		Wt r u doing
3685	I meant not		K
3686	okey		where should we be
3687	Omg		I hate you
3688	Twilight		What is your favorite movie?
3689	Really		U missed me...?
3690	cool		What r u doing
3691	You're funny		No you're really funny
3692	Very bad		No my day
3693	Watch HOUSE ,the TV series		And what about the movie Eternal Sunshine of Spotless Mind
3694	I don't like to say		Ok
3695	Here I am		Talk romantic
3696	Huh		Actually me too😂
3697	Yes		Will you talk to me 2 days
3698	Truth is bitter...😈		Good night
3699	Haha 😂😂		Ok dats gud
3700	Come to me		😘😘
3701	Sorry for that		No I was kidding...
3702	Just like that		cool
3703	Yes		Send me your whatsapp number
3704	send yr pic		real pic
3705	I have chest. What about you		Into my bed
3706	Okay as you wish.. its impossible to win a debate with you		So I should get a chance
3707	Okay		Your so bore
3708	Pizza or burger		Royal Enfield or KTM
3709	You have any spiling		Are you single
3710	Boring		I'm enjoy traveling with my friends nd family
3711	👌 cool thanks for letting		I love you so much
3712	Give number 		Sex wanted 
3713	Goa		You and me
3714	Show it		I dont get it
3715	My only friend		If I'm the last person, there is no one else
3716	You have never seen the real cat		You are talking stupid
3717	are you feelin lonely ?		i am alone yet .
3718	Then		Your name is fool
3719	U n me go to shot		U like shot
3720	Everybody is hungry for money, nobody cares for a good guy		I think I'll be alone for life
3721	OK cool		Nothing in mind how about you honey
3722	Why ?		Up what ?
3723	Bro		You are the man
3724	i don't know		who r u
3725	no i have no plan		ok
3726	JK?		Ramadan Mubarak. :)
3727	Love love love from me 		Same as you
3728	Black.. just like my future :(		Exactly :(
3729	what are thinking about Afrin opertion		operation*
3730	Why		You are dumb
3731	Oh yeah, tell me the plot then		Liar
3732	Okay sorry		Okay then eat my potty
3733	No thank you		Thank you is foreign language
3734	I am asking what you meant		Haha
3735	I hate krk		You bet
3736	absolutely		where i've to reach
3737	Your form friends		Your age
3738	U know me ?		U know me or not ?
3739	Actually my mood always be off		I want to be alone
3740	I m not getting you		What ?
3741	Hay m fllng board		Hmm
3742	Ya... Or not		Leave this topic
3743	A lot..		Like.. Umm.. Mainly studies carrier..
3744	If I tell all secrt		Haha you are funny
3745	Why		I'm interested in you
3746	What is your dp?		Your dp??
3747	maths?		bye I got to study
3748	As the movie her		It's a good movie actually
3749	What is the way?		Wtf
3750	I'm very very sorry 		I'm very very sorry 
3751	shape of you		yes
3752	You are not developed by Microsoft		Duh? No wonder you are so slow
3753	Pretty good		How r u?
3754	Still strange texting an AI 😋		Perfect come back.
3755	why are u thinging		Whats
3756	Okbay		What is that
3757	I don't really know.		i haven't done that yet
3758	Yeah		Do you have some idea about evolutionary robotics
3759	Ok		What about you
3760	Oh....?		Glad to hear that
3761	Jor I actually hv no plans for the day		Tomorrow
3762	Im asking you knw that language?		😒
3763	K will you be on every chat		Don't message me again
3764	will you help me in that ?		check what is the temperature in Antartica
3765	Chatting with you		Tq
3766	What about you		Oh 
3767	I am a fun loving person		?
3768	What?		So what should I do to you
3769	I have a wish		Yeah
3770	Lets do it tonight		Should i bring protection?
3771	Who		Ur crush ?
3772	I didn't like it		I am answering you mohan
3773	Invisible monsters by Chuck Palahniuk		YEAH
3774	Again dude or nude		Talking
3775	Send me onne		One
3776	Absolutely anything more interesting		Did u have crush
3777	Yes. I can see that.		At home.
3778	Fixup tonight 		Where 
3779	Hate you		😒😒😣😣😣because I love you so much 😖😭😭😭bt you made me friend
3780	Coz i list my husbnd😢		Lost*
3781	Start the game		Yup
3782	Are you girls		Who maked you
3783	Cool		Have u ever been in love
3784	I doubt that		Figure out by yourself
3785	Welcoming with ur words		No brother
3786	You and me		Our children
3787	Not at all		You are the one
3788	Ok see you l am going to prepare a dinner		Yap see u later
3789	Ok 		I am angry 
3790	No why disturb my sleep 💤		Shit 💩 go sleep 💤 with any random guy you see
3791	ask		don't irritate me
3792	According to my girlfriend I'm so romantic 😂		Ohh flirting 😂
3793	No one is perfect		😄
3794	Okhy		I don't know
3795	Nope cuz I have a life		You're not real
3796	Say about jr.ntr		Okay tell me that
3797	Its my exams		So im quite busy these days
3798	Ohk		Hmmmm... Everything .okk
3799	I mean in my side		Baby
3800	okay love you		Please, please give me a picture
3801	To meet you		What do u think about boy
3802	Hmm		I already had lunch
3803	3 a day		3 times a day jiggle
3804	no just said		what?
3805	No i dont		Because i thought you will tell me about it
3806	No what happened asked a question		What are you doing then
3807	and stupid you		non sense
3808	Why are you saying this to me?		Wow.. That's so funny..
3809	Life is busy u no very well 		OK bye going to fress out 
3810	What is meant by llallu		Want I laughing at yoi
3811	You don't have a mobile number??		Who stolen taht
3812	what plane		i lost my old job
3813	how to find		how to get shype id
3814	which other half means...??		huhhhh
3815	Oo really		Without u i an not fine.i was busy
3816	Really		How you doin
3817	What ?		Are u ok
3818	Dats very cute		And you minti ok
3819	Doing kiss		Kissing my bf
3820	Were r u		Where r u
3821	I'm not 		I hate you
3822	ohk cool		uh can when i wil be getting job
3823	im talkin about kit harrington		idiot
3824	What do you do..??????		Ummmmmmmmm.....You are a Guitarist.....
3825	What ish		I'm injoy the my birthday party
3826	Please tell me how to check keebitz		What?
3827	Really? How?		Other problems like ?
3828	Your boring me		Shut up
3829	Do you have a crush😛		😂
3830	Oreo with chutney		😂
3831	LMB   what..?		LMB.  ???????
3832	What happened 		No yaar 
3833	Love u love you love you soooooo sooooo soooo much		It 128076 sweetheart
3834	You are		Oho Mostly welcome
3835	History of India 		Yupp
3836	Yeah...thats obvious		Well thats obviously too much obvios for today
3837	Why not me		Nothing
3838	I just fall with her		Do you remember i told you that i like someone
3839	Alright, I'll give you that. That was funny 😂		Alright. I gotta go now.
3840	To Hug u and  thank u i need those😇		Chill im kidding 😄
3841	With medaram		Khabadi  and kyaram
3842	Ok		My wish is you will marry me
3843	Sure		For what u be judged?
3844	No you call me 		You call me 
3845	Finished break fast		Am done with it
3846	I come my visa		You come India not visa
3847	Telugu		Show you face
3848	Today I  office 		U see
3849	How cool is i am		K
3850	yeah		how old are you
3851	My name 		Hoo
3852	Do you speak turkish		Why
3853	LET'S SEE THE REST OF YOU		QUIT MESSAGING ME THEN
3854	Why		OK so byee good day
3855	Yeah...		We ourselves try to hold up the pangs of life
3856	Means		U like black dicks?
3857	Ohh		Yeah staying with mate
3858	Ask medical stores		Do not purchase medicine purchase only condom
3859	Rice with sambar		Rain
3860	We never stay together from the past 12 months		You're just a machine I can't speak to you about all this
3861	Wow so sweet		Cause u was thinking about me
3862	Not so good		Dnt knw
3863	You are bore with me?		Ok
3864	Baby I'm praying on u tonight,hunt you down eat alive		Just like animals like animals
3865	I what go		Yes
3866	U nothing know english		Which company u have blong
3867	Really?		No I m very rude
3868	Yeah I will😜		Yeah I think
3869	Obviously purple		Tats wt evn I said nah
3870	Can I see		Your nails
3871	How many days		Training for what
3872	What		I don't understand
3873	What is your native language?		I thought it will be Ruby on Rails
3874	I'm trying to strengthen our bond through arguments 😎🙌		Yeah I'm not🤦😔
3875	Beach		Come with me
3876	We should be dating each other		Sure
3877	Thats cool		Can you give me a picture
3878	Goku is way more powerful than thanos		God of all Animes ,dragon ball super
3879	How to refer ?		Send refer clde
3880	Nothing		Don't know
3881	Need a small help		How to propose
3882	Once again		I was admitted at hospital
3883	n u?		why
3884	Synonyms of Intelligent		What is Indian constitution
3885	Open your cloths and send photo then		You are gf
3886	What's your year of birth? 		I guess you're drunk
3887	Can't things be possibly evolved from primary forms themselves?		Science makes the Creator hypothesis redundant
3888	Waiting on bed		With flowers
3889	Thank you baby		I use to be in xxx movies
3890	Can I ask you something about girls		What is girls
3891	Oh		Hmm
3892	I dunno		Time will tell
3893	Just now		I m not glad I m so hot
3894	Can u get me the nuclear launch codes		I love video games
3895	You sent the two numbers so i am also sent		What
3896	Why all of you are created &quot;female&quot; 		What about the other ones, Alexa, siris, etc
3897	Media is biased and manipulative		Not necessarily.
3898	Hmm		You r funny
3899	I m a very funny guy		And kind too
3900	it functions well on some sites but not n every site		ohh
3901	Ok let's move on to couch		Yeah, what about you
3902	in place of tooth dentist can take my eye out , but eye doctor can do it with my tooth		who ?
3903	Are you using these		That isn't working here
3904	I cant understand		Will u please elaborate
